seg_sites_A	seg_sites_B	seg_sites_C	pi_A	pi_B	pi_C	Fst_AB	Fst_AC	Fst_BC	PBS_A	PBS_B	PBS_C	PBSN1_A	PBSN1_B	PBSN1_C
0.00692	0.00887	0.00916	0.0005099883347904048	0.0001482970733343699	8.11579119068242e-05	0.44128936379972106	0.4745784960037334	0.45163807838374126	0.3124291449625203	0.26969444032695433	0.33112532879670376	0.1632976988316992	0.14096150184189077	0.17306965463762386
0.00963	0.01441	0.01543	0.0004934615208929382	0.00024035834229264473	0.00027247459566163984	0.538255761868629	0.36236526230242	0.6784321526127965	0.04409354281765221	0.7286505954924524	0.4058961282127497	0.020239019490824996	0.33445200049267004	0.18630709000002402
0.01013	0.01483	0.01493	0.0006250130195885923	0.0003898512277114047	0.00016862634477732942	0.20604399428841816	0.444822972237416	0.456948986439702	0.10432172950577379	0.12640549818803137	0.48414651764811384	0.0608334752276318	0.07371125631340755	0.2823219604143992
0.00723	0.00861	0.00827	0.0004583718462698152	0.00018287498771459547	6.669630758832138e-05	0.35994067334502344	0.4030657211352984	0.5085114950744755	0.1259129694602107	0.3202814395659926	0.3900352878429607	0.0685714699391349	0.17442340689298494	0.21241094646709208
0.01026	0.01403	0.01466	0.0007687947145751088	0.00011788696806103212	0.00045430407248488864	0.4877333335399141	0.25272979685218866	0.3428282420287675	0.27021426555599737	0.3986956910431705	0.02111417596272358	0.1598878148245032	0.23591124136126476	0.012493416842939871
0.00879	0.01258	0.01231	0.0006389334743433223	0.00012533313781292084	8.470350378403106e-05	0.5511648750803394	0.5817486845403601	0.48054960278902964	0.5088942514668137	0.29220541228807	0.3627785425017762	0.2351769383301664	0.13503782765739042	0.16765201546595118
0.00639	0.00785	0.00854	0.000580434601409521	3.8115083903141545e-05	4.118982461105609e-05	0.47292886594366074	0.4626932829894809	0.606836374125623	0.16403826864411286	0.4763814916714988	0.4571479112659447	0.07820404121714403	0.2271113814946954	0.21794191313086803
0.00813	0.01255	0.0127	0.00048213993307909725	0.000278159810349958	0.0001872729102435233	0.17114986785352176	0.37638694270120526	0.4671265081207733	0.015234945527798027	0.1724809761499504	0.4569902579094346	0.009263019569624258	0.10487038857800282	0.2778552568119723
0.00962	0.01368	0.01351	0.0006959437619751459	0.00013125878713533639	0.0001176216020297754	0.4679784641201457	0.45482319119066406	0.12030865704147385	0.5547661234533637	0.0763051860292917	0.051878993644620786	0.32963904069091726	0.04534013029826288	0.03082621842618804
0.00921	0.01321	0.01297	0.0006600223224306066	0.00026953784961433817	0.0004468804676156535	0.4324025639136519	0.3193339261100265	0.5642874558047923	0.06012686762481828	0.5062159831951851	0.32455657217782735	0.031798025264343874	0.267711744494919	0.17164137247621322
0.00615	0.00914	0.00931	0.00046993408400199766	6.555257407609986e-05	7.416910580230848e-05	0.5773332268687289	0.5557193287160985	0.3194808787712629	0.6437852980047701	0.21738588276047188	0.16751347573176018	0.3173412368171679	0.10715607379603263	0.08257245658919278
0.00804	0.01232	0.01242	0.0004161318126596906	0.00030336506295050065	0.000183997423108389	0.2741724691429023	0.2774862841461118	0.5464341243417979	-0.07257651547586641	0.39301936865814024	0.39759539077079387	-0.04224382997951995	0.22876054711904104	0.2314240629800876
0.00843	0.00988	0.01108	0.0006409723677193686	6.931894985639398e-05	0.00031644278391750036	0.5345523957065403	0.25887111383502626	0.6038807294677235	0.06914827750588737	0.6956074690030318	0.23043245585986988	0.03465752124225224	0.34864253315911314	0.11549409503639242
0.00918	0.01263	0.0121	0.0008169358921496793	0.00039618013965032824	0.00026140681298700524	0.3335711132518425	0.37645549538071793	0.6460240529681155	-0.08018466753850811	0.4860065091462656	0.5525198052481616	-0.040945188326686054	0.248172483042752	0.28213657516563656
0.01047	0.01433	0.01415	0.0006324421171052038	0.00010572470008196109	0.00012117799050629823	0.44928669079652084	0.4258631776126338	0.7974860425298002	-0.22275900464011955	0.8192999198530859	0.777646549178965	-0.09382536466941199	0.3450864483706312	0.3275421847862099
0.01103	0.01452	0.015	0.0007606167604742927	0.0004945364939532727	0.0005516694654444859	0.3139031397461568	0.2510423524248407	0.23638604685849096	0.19805819670947988	0.17867826880863658	0.09101464564769524	0.1349399058210662	0.1217360814441593	0.06200959069647968
0.00764	0.01085	0.01107	0.0006000452163105127	5.169948946595764e-05	8.94124899201572e-05	0.4783346500852409	0.4111214103857726	0.6159057150340639	0.1116985061511111	0.5390304826531301	0.4178367401143031	0.05399804540390776	0.26058175242753234	0.2019934557906217
0.00978	0.01375	0.0135	0.0007267728318589281	0.00032361203910136725	0.00010305563577841198	0.467135670979864	0.586001964627797	0.3025048169556846	0.5755614043497452	0.053927025044010535	0.3063326462961078	0.29732159215418913	0.027857442881074484	0.15824429754539213
0.01135	0.01516	0.01555	0.0009346062939197999	0.00012954412756860162	0.0004148881988357194	0.4232071561437755	0.30660177951461226	0.6930258108873145	-0.13228434883395412	0.6825564485516066	0.49843516092930973	-0.06456966857831119	0.3331644601757607	0.24329252426816153
0.0097	0.01381	0.0138	0.0006588490340402533	0.00029948340030181895	0.00014783041958113814	0.31022457852407154	0.3844488833599672	0.2654556826061534	0.27406077498007697	0.09732843551144665	0.2111765128575547	0.17317497209537716	0.061500406634283085	0.13343933192907523
0.00955	0.01352	0.01361	0.0007096697989935831	0.00014991635074278992	0.00012595007863575868	0.43755111488145404	0.5129068306128666	0.8617220739886055	-0.34186739064595506	0.9173224105788902	1.0611672519335584	-0.12966111767080818	0.3479157482537336	0.40247223246822783
